state,minimum_wage
Alabama,7.25
Alaska,9.890000342999999
Arizona,11.0
Arkansas,9.25
California,12.0
Colorado,11.10000038
Connecticut,10.10000038
Delaware,8.75
District of Columbia,13.25
Florida,8.460000037999999
Georgia,7.25
Hawaii,10.10000038
Idaho,7.25
Illinois,8.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,7.25
Maine,11.0
Maryland,10.10000038
Massachusetts,12.0
Michigan,9.25
Minnesota,9.859999657000001
Mississippi,7.25
Missouri,8.600000381000001
Montana,8.5
Nebraska,9.0
Nevada,8.25
New Hampshire,7.25
New Jersey,8.850000381000001
New Mexico,7.5
New York,11.10000038
North Carolina,7.25
North Dakota,7.25
Ohio,8.550000191
Oklahoma,7.25
Oregon,10.75
Pennsylvania,7.25
Rhode Island,10.5
South Carolina,7.25
South Dakota,9.100000381000001
Tennessee,7.25
Texas,7.25
Utah,7.25
Vermont,10.77999973
Virginia,7.25
Washington,12.0
West Virginia,8.75
Wisconsin,7.25
Wyoming,7.25
